,worker_name,machine,start_time,end_time,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu
12782,81fc90186d3eb869a64df155ce88260f21ce296d19f10dd3f1417c4e4404,905f98d511a6d16771b596d7,2135895,2161669,,,,,,,,
12783,a4033e76163ae6553ab27e9864177dd95f1a6cb9668b3569b1d9b4f1f7be,905f98d511a6d16771b596d7,2136938,2139515,,,,,,,,
12784,e5de5170ee34b662b78c114680bb6badc85e4103fecf133dc44f7c4048f2,905f98d511a6d16771b596d7,2139527,2142093,,,,,,,,
12964,36fd96cd892094364c150db100226ca8c5d1e57560e1171c408b771144c2,905f98d511a6d16771b596d7,2136918,2136950,,,,,,,,
12973,61af0d90589fabf6d58a5dec2d44dcd41478d0e61a8753f2ddd16587096c,905f98d511a6d16771b596d7,2123350,2250859,,,,,,,,
12974,ee2d3c4a36e4c22153e7f36e418709061052202aca52bb38674a32c716d3,905f98d511a6d16771b596d7,2123350,2251143,,,,,,,,
12975,545069445b1b3581f159e4dcfbd94229885d634bb71ead9ca53a5cc49d56,905f98d511a6d16771b596d7,2123350,2247165,,,,,,,,
12976,704934443fe05ac0ecac16e87411a55e6b74d0a0838a2a62ae317a6f4f2e,905f98d511a6d16771b596d7,2133029,2133766,,,,,,,,
15942,fb0bc7a1bbcadc48484009764e3593e2b4ef2964e0016fd67f2f5aee3ada,64b3598645efb5324e66172f,2138130,2143620,,,,,,,,
15973,ee2311cac21c42d2dcae6fdbdd6ef7b6d5c9c39c543e2479d32c9496266d,64b3598645efb5324e66172f,2127247,2133614,,,,,,,,
15974,3e66ed16712fe1bfbfee753378fbf8e976120bfe4703f76fdd1f03cfa551,64b3598645efb5324e66172f,2134131,2135141,,,,,,,,
16022,e5fb6f11e6621288cc2864caf99bbc905d61ff2765132ff9d089789e2fc9,64b3598645efb5324e66172f,2102008,2136482,,,,,,,,
16138,99594306f7b4b359cd5abc9c10dc3ec883166bb0121502bd98b8bf08fb6d,64b3598645efb5324e66172f,2141663,2141745,,,,,,,,
16219,ca7546afda92da84a11ad3225531d0625250e6e57f1fdce6c0daec747209,64b3598645efb5324e66172f,2142938,2165757,,,,,,,,
16234,1a0b6c572db80f6fd15f25df7a6857bb9339fd881e4176c00ddb428e16c0,64b3598645efb5324e66172f,2134193,2338967,,,,,,,,
16294,39ce8727e7e442319368598e53a29850d5b2a273090ef8ecd1e3620d5485,64b3598645efb5324e66172f,2138100,2138242,,,,,,,,
16295,9c7c8321eb6d7aca0fc58f5a11554f75bfc11031b08fb21998a6412e94a2,64b3598645efb5324e66172f,2142516,2142645,,,,,,,,
16344,8f3a5a93d23514adf0cdb77004d35f657445aa1ec419a4d96478f892d55f,64b3598645efb5324e66172f,2132357,2132410,,,,,,,,
